id,character,koreanReading,meaning,allowedForName,isCommonSurname,genderPreference,source,sourceVersion,sourceNote
200001,金,김,쇠 금,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200002,李,이,오얏 리,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200003,朴,박,성씨 박,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200004,崔,최,높을 최,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200005,鄭,정,나라 이름 정,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200006,姜,강,성씨 강,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200007,趙,조,나라 조,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200008,曺,조,성씨 조,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200009,尹,윤,다스릴 윤,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200010,張,장,베풀 장,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200011,林,임,수풀 림,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200012,韓,한,나라 이름 한,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200013,吳,오,나라 이름 오,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200014,徐,서,천천할 서,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200015,申,신,거듭 신,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200016,辛,신,매울 신,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200017,權,권,권세 권,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200018,黃,황,누를 황,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200019,安,안,편안할 안,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200020,宋,송,성씨 송,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200021,全,전,온전할 전,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200022,田,전,밭 전,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200023,洪,홍,큰물 홍,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200024,柳,유,버들 류,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200025,劉,유,성씨 류,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200026,兪,유,대답할 유,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200027,高,고,높을 고,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200028,文,문,글월 문,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200029,梁,양,들보 량,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200030,楊,양,버들 양,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200031,孫,손,손자 손,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200032,裵,배,성씨 배,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200033,白,백,흰 백,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200034,許,허,허락할 허,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200035,南,남,남녘 남,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200036,沈,심,성씨 심,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200037,盧,노,밥그릇 로,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200038,魯,노,노나라 로,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200039,河,하,물 하,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200040,郭,곽,성곽 곽,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200041,成,성,이룰 성,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200042,車,차,수레 차,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200043,朱,주,붉을 주,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200044,周,주,두루 주,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200045,禹,우,성씨 우,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200046,具,구,갖출 구,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200047,丘,구,언덕 구,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200048,閔,민,성씨 민,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200049,陳,진,늘어놓을 진,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200050,秦,진,진나라 진,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200051,池,지,못 지,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200052,嚴,엄,엄할 엄,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200053,蔡,채,성씨 채,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200054,元,원,으뜸 원,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
