id,character,koreanReading,meaning,strokeCount,radical,fiveElement,allowedForName,isAdditionalNameHanja,isBasicEducationHanja,isVariant,variantOf,isCommonSurname,genderPreference,source,sourceVersion,sourceNote
100001,伽,가,절(가),7,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100002,佳,가,아름다울(가),8,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100003,假,가,빌(가),11,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100004,價,가,값(가),15,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100005,加,가,더할(가),5,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100006,可,가,옳을(가) 들을(가),5,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100007,呵,가,꾸짖을(가) 불(가) 웃을(가),8,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100008,哥,가,형(가),10,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100009,哿,가,옳을(가),10,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
100010,嘉,가,아름다울(가),14,,목,true,,,,,false,NEUTRAL,Supreme Court e-Family personal-name Hanja search | Unicode Unihan,2026-08-20,"인명용 여부·뜻·독음은 법원 조회, 획수는 Unicode Unihan, 오행은 한글 초성 발음오행 분류"
