gender,rank,name,count,periodStart,periodEnd,updatedAt,source
M,1,서준,44251,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,2,민준,43019,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,3,도윤,38914,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,4,시우,35356,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,5,하준,34460,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,6,예준,34281,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,7,지호,31775,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,8,주원,31140,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,9,도현,27861,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
M,10,지후,27352,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,1,서윤,42684,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,2,서연,39844,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,3,지우,36378,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,4,하윤,34894,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,5,서현,32288,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,6,하은,31836,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,7,민서,30361,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,8,지유,29841,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,9,윤서,28835,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
F,10,지아,26364,2008-01,2026-08,2026-08-20,Supreme Court e-Family name statistics
